Date,Close
10/9/2018 23:58:00,226.15
10/10/2018 23:58:00,223.61
10/11/2018 23:58:00,188.32
10/12/2018 23:58:00,194.1
10/13/2018 23:58:00,196.72
10/14/2018 23:58:00,191.87
10/15/2018 23:58:00,204.53
10/16/2018 23:58:00,205.43
10/17/2018 23:58:00,203.21
10/18/2018 23:58:00,199.2
10/19/2018 23:58:00,200
10/20/2018 23:58:00,202.69
10/21/2018 23:58:00,202.12
10/22/2018 23:58:00,201.25
10/23/2018 23:58:00,201.12
10/24/2018 23:58:00,200.68
10/25/2018 23:58:00,199.65
10/26/2018 23:58:00,200.7
10/27/2018 23:58:00,201.46
10/28/2018 23:58:00,202.43
10/29/2018 23:58:00,194.31
10/30/2018 23:58:00,195.35
10/31/2018 23:58:00,196.95
11/1/2018 23:58:00,197.96
11/2/2018 23:58:00,199.75
11/3/2018 23:58:00,198.35
11/4/2018 23:58:00,210.06
11/5/2018 23:58:00,208.53
11/6/2018 23:58:00,218.65
11/7/2018 23:58:00,216.84
11/8/2018 23:58:00,210.34
11/9/2018 23:58:00,208.01
11/10/2018 23:58:00,210.29
11/11/2018 23:58:00,209.88
11/12/2018 23:58:00,208.77
11/13/2018 23:58:00,203.2
11/14/2018 23:58:00,177.79
11/15/2018 23:58:00,178.89
11/16/2018 23:58:00,172.4
11/17/2018 23:58:00,172.49
11/18/2018 23:58:00,175.87
11/19/2018 23:58:00,145.21
11/20/2018 23:58:00,127.55
11/21/2018 23:58:00,134.73
11/22/2018 23:58:00,123.25
11/23/2018 23:58:00,121.44
11/24/2018 23:58:00,110.16
11/25/2018 23:58:00,114.3
11/26/2018 23:58:00,106.95
11/27/2018 23:58:00,108.7
11/28/2018 23:58:00,121.94
11/29/2018 23:58:00,116.38
11/30/2018 23:58:00,111.65
12/1/2018 23:58:00,116.82
12/2/2018 23:58:00,114.76
12/3/2018 23:58:00,107.21
12/4/2018 23:58:00,108.61
12/5/2018 23:58:00,100.76
12/6/2018 23:58:00,89.09
12/7/2018 23:58:00,92.45
12/8/2018 23:58:00,89.99
12/9/2018 23:58:00,92.79
12/10/2018 23:58:00,89.23
12/11/2018 23:58:00,86.96
12/12/2018 23:58:00,89.09
12/13/2018 23:58:00,85.35
12/14/2018 23:58:00,83
12/15/2018 23:58:00,83.03
12/16/2018 23:58:00,83.74
12/17/2018 23:58:00,93.79
12/18/2018 23:58:00,101
12/19/2018 23:58:00,99.34
12/20/2018 23:58:00,114.52
12/21/2018 23:58:00,107.74
12/22/2018 23:58:00,116.09
12/23/2018 23:58:00,129.61
